Position	StartingPosition	StartingTime	Age	Category	Swim	Cycle	Run	Total
136	140	09:19:45	40	H	00:08:05 	00:46:15	00:26:54	01:21:14
137	31	08:52:30	36	G	00:06:29 	00:46:22	00:28:27	01:21:18
138	252	09:47:45	46	I	00:08:23 	00:49:24	00:23:35	01:21:22
139	383	10:20:30	32	F	00:08:35 	00:46:22	00:26:29	01:21:26
140	176	09:28:45	32	F	00:08:05 	00:46:52	00:26:34	01:21:31
141	296	09:58:45	40	H	00:10:18 	00:45:51	00:25:30	01:21:39
142	327	10:06:30	34	F	00:09:40 	00:46:59	00:25:02	01:21:41
143	151	09:22:30	50	J	00:08:22 	00:47:50	00:25:31	01:21:43
144	235	09:43:30	50	J	00:08:46 	00:47:27	00:25:30	01:21:43
145	447	10:36:30	36	G	00:08:14 	00:44:36	00:28:54	01:21:44
146	303	10:00:30	27	E	00:09:30 	00:47:31	00:24:44	01:21:45
147	9	08:47:00	37	G	00:10:46 	00:47:07	00:23:53	01:21:46
148	286	09:56:15	43	H	00:09:04 	00:48:26	00:24:18	01:21:48
149	315	10:03:30	25	E	00:07:46 	00:47:37	00:26:26	01:21:49
150	201	09:35:00	44	H	00:07:59 	00:48:02	00:25:50	01:21:51
151	659	11:29:30	29	E	00:09:10 			01:21:53
152	50	08:57:15	46	I	00:07:41 	00:48:53	00:25:21	01:21:55
153	228	09:41:45	34	F	00:09:07 			01:21:57
154	66	09:01:15	42	H	00:07:11 	00:48:42 	00:26:05	01:21:58
155	40	08:54:45	54	J	01:47:22 	00:48:15 	00:22:56	01:22:03
156	295	09:58:30	46	I	00:08:38 	00:49:22 	00:24:09	01:22:09
157	95	09:08:30	44	H	00:07:04 	00:46:26 	00:28:48	01:22:18
158	114	09:13:15	16	A	00:08:46 	00:50:28 	00:23:04	01:22:18
159	215	09:38:30	45	I	00:09:31 	00:48:42 	00:24:10	01:22:23
160	224	09:40:45	32	F	00:08:04 			01:22:32
161	187	09:31:30	49	I	00:08:54 	00:45:03 	00:28:36	01:22:33
162	148	09:21:45	46	I	00:08:46 	00:46:36 	00:27:12	01:22:34
163	284	09:55:45	34	F	00:08:12 	00:50:11 	00:24:12	01:22:35
164	60	08:59:45	30	F	00:08:32 	00:48:20 	00:25:45	01:22:37
165	425	10:31:00	43	H	00:10:02 	00:45:24 	00:27:18	01:22:44
166	364	10:15:45	45	I			00:25:52	01:22:48
167	59	08:59:30	50	J	00:08:07 	00:50:08	00:24:35	01:22:50
168	279	09:54:30	38	G	00:08:53 	00:50:35	00:23:23	01:22:51
169	658	11:29:15	38	G	00:10:54 	00:44:53	00:27:08	01:22:55
170	83	09:05:30	46	I	00:06:51 	00:50:14	00:25:52	01:22:57
171	363	10:15:30	44	H	00:08:54 	00:48:20	00:25:46	01:23:00
172	117	09:14:00	27	E	00:10:58 	00:45:28	00:26:38	01:23:04
173	324	10:05:45	37	G	00:09:32 	00:48:09	00:25:27	01:23:08
174	373	10:18:00	47	I	00:09:04 	00:46:47	00:27:21	01:23:12
175	196	09:33:45	50	J	00:08:56 	00:55:59	00:18:23	01:23:18
176	273	09:53:00	37	G	00:08:07 	00:46:59	00:28:19	01:23:25
177	243	09:45:30	50	J	00:08:12 	00:49:37	00:25:40	01:23:29
178	325	10:06:00	42	H	00:09:03 	00:47:36	00:26:55	01:23:34
179	377	10:19:00	36	G	00:09:31 	00:51:31 	00:22:42	01:23:44
180	112	09:12:45	43	H	00:08:27 	00:46:10 	00:29:07	01:23:44
181	334	10:08:15	40	H	00:10:11 	00:44:49 	00:28:45	01:23:45
182	68	09:01:45	31	F	00:07:24 	00:52:44 	00:23:41	01:23:49
183	34	08:53:15	53	J	00:06:23 	00:48:05 	00:29:26	01:23:54
184	149	09:22:00	43	H	00:08:18 	00:47:53 	00:27:49	01:24:00
185	269	09:52:00	42	H	00:09:27 	00:48:33 	00:26:00	01:24:00
186	178	09:29:15	35	G	00:08:33 	00:47:19 	00:28:09	01:24:01
187	274	09:53:15	50	J	00:08:46 	00:48:33 	00:26:43	01:24:02
188	376	10:18:45	42	H	00:09:23 	00:44:17 	00:30:39	01:24:19
189	388	10:21:45	24	D	00:07:30 	00:46:59 	00:29:51	01:24:20
190	319	10:04:30	32	F	00:07:58 	00:48:54 	00:27:29	01:24:21
191	84	09:05:45	47	I	00:07:44 	00:50:40 	00:26:05	01:24:29
192	259	09:49:30	43	H	00:08:50 	00:47:51 	00:27:49	01:24:30
193	116	09:13:45	36	G	00:09:07 	00:45:32 	00:29:56	01:24:35
194	256	09:48:45	37	G	00:08:23 	00:48:50 	00:27:23	01:24:36
196	306	10:01:15	39	G	00:07:00 	00:48:13 	00:29:30	01:24:43
195	154	09:23:15	31	F	00:09:10 	00:49:07 	00:26:26	01:24:43
197	174	09:28:15	35	G	00:07:36 	00:50:11 	00:27:00	01:24:47
198	248	09:46:45	49	I	00:08:36 	00:49:15 	00:26:58	01:24:49
199	76	09:03:45	49	I	00:07:25 	00:47:12 	00:30:13	01:24:50
200	333	10:08:00	30	F	00:10:02 	00:48:08 	00:26:53	01:25:03
201	39	08:54:30	40	H	00:06:42 	00:51:22 	00:27:03	01:25:07
202	134	09:18:15	39	G	00:08:10 	00:47:55 	00:29:03	01:25:08
203	230	09:42:15	48	I			00:27:21	01:25:14
204	1	08:45:00	30	F	00:06:46 	00:50:25 	00:28:04	01:25:15
205	193	09:33:00	39	G	00:09:33 	00:47:48 	00:27:56	01:25:17
206	415	10:28:30	36	G	00:09:08 	00:48:45 	00:27:25	01:25:18
207	287	09:56:30	34	F	00:07:48 	00:47:42 	00:29:51	01:25:21
208	271	09:52:30	40	H	00:10:00 	00:50:44 	00:24:53	01:25:37
209	210	09:37:15	39	G	00:07:53 	00:53:06 	00:24:41	01:25:40
210	436	10:33:45	40	H	00:07:55 			01:25:43
211	290	09:57:15	63	L			00:30:29	01:25:44
