"FROTA";"ANO";"MES";"EFF";"LAGE";"BRANCA"
"BRA";2000;11;24100;751,32;294,17
"BRA";2000;11;5000;376;134,46
"BRA";2000;12;42050;4593,36;7297,36
"BRA";2000;12;21168;1837,63;2906
"BRA";2000;12;9600;104,12;1276,8
"BRA";2000;12;11000;413,14;111,64
"BRA";2000;12;8000;259,45;67,14
"BRA";2001;1;NA;NA;NA
"BRA";2001;1;71750;13530,99;1882,49
"BRA";2001;1;34350;3971,3;38,65
"BRA";2001;1;3600;56,97;389,51
"BRA";2001;2;1190;309,63;19,7
"BRA";2001;2;26810;2663,37;238,22
"BRA";2001;2;115210;14066,13;2372,18
"BRA";2001;2;8050;277,6;138,32
"BRA";2001;2;1200;310,13;39,84
"BRA";2001;3;2300;77,93;36,44
"BRA";2001;3;16380;938,48;379,96
"BRA";2001;3;105216;15394,73;3110,2
"BRA";2001;3;18800;1827,66;134,09
"BRA";2001;4;37520;2696,56;254,92
"BRA";2001;4;84580;11956,21;2644,88
"BRA";2001;4;7400;526,97;119,93
"BRA";2001;5;33900;3374,23;1411,51
"BRA";2001;5;NA;NA;NA
"BRA";2001;5;1200;31,4;37,45
"BRA";2001;6;19700;1116,17;332,9
"BRA";2001;7;18800;2601,51;196,14
"BRA";2001;9;8960;350,6;198,6
"BRA";2001;10;NA;NA;NA
"BRA";2001;10;NA;NA;NA
"BRA";2001;11;7000;93,89;135,84
"BRA";2001;12;2850;508,49;1817,89
"BRA";2002;1;81050;1101,32;397
"BRA";2002;1;7280;342,43;34,17
"BRA";2002;1;3000;158,25;11,37
"BRA";2002;2;7800;2133;189,14
"BRA";2002;2;13100;6542,81;73,47
"BRA";2002;2;NA;NA;NA
"BRA";2002;2;1300;207,83;23,34
"BRA";2002;2;NA;NA;NA
"BRA";2002;2;25590;322,34;471,29
"BRA";2002;2;NA;NA;NA
"BRA";2002;2;NA;NA;NA
"BRA";2002;2;4000;22,11;56,72
"BRA";2002;3;NA;NA;NA
"BRA";2002;3;16370;1830,66;216,74
"BRA";2002;3;1000;712,23;22,77
"BRA";2002;3;1300;311,69;114,17
"BRA";2002;3;7000;3000,62;51,9
"BRA";2002;3;10250;128,88;114,15
"BRA";2002;3;20220;1104,28;29,37
"BRA";2002;3;18600;197;177,39
"BRA";2002;3;111880;5309,35;1536,37
"BRA";2002;3;NA;NA;NA
"BRA";2002;3;14560;170,12;18,62
"BRA";2002;3;14000;49,99;217,33
"BRA";2002;3;1000;6001,48;701,25
"BRA";2002;4;1800;158,72;26,4
"BRA";2002;4;12790;2466,78;78,35
"BRA";2002;4;NA;NA;NA
"BRA";2002;4;14150;108,57;431,07
"BRA";2002;4;17100;342,79;922,52
"BRA";2002;4;37670;2777,23;2349,98
"BRA";2002;4;2200;146,64;143,06
"BRA";2002;5;49960;467,56;1479,53
"BRA";2002;5;1000;205,18;114,24
"BRA";2002;5;1400;14,54;65,04
"BRA";2002;5;NA;NA;NA
"BRA";2002;5;48910;801,02;4997,83
"BRA";2002;5;70530;8919,54;11337,54
"BRA";2002;6;28390;375,6;1176,89
"BRA";2002;6;12730;598,19;241,7
"BRA";2002;6;29550;9369,73;3530,96
"BRA";2002;6;73190;55709,85;11004,49
"BRA";2002;7;59550;109,49;3561,01
"BRA";2002;7;66590;7176,55;8469,14
"BRA";2002;7;89550;23453,86;8941,08
"BRA";2002;8;NA;NA;NA
"BRA";2002;8;54595;621,81;4355,16
"BRA";2002;8;1000;20,91;43,86
"BRA";2002;8;32615;1549,14;1637,16
"BRA";2002;8;29260;5213,88;1152,07
"BRA";2002;9;1020;744,11;230,68
"BRA";2002;9;3200;1717,92;294,94
"BRA";2002;9;NA;NA;NA
"BRA";2002;9;37800;2907,25;1630,34
"BRA";2002;9;43240;7899,79;3305,59
"BRA";2002;9;1100;1653,84;914,8
"BRA";2002;9;3400;373,57;722,81
"BRA";2002;10;NA;NA;NA
"BRA";2002;10;28000;8871,8;1351,72
"BRA";2002;10;2000;140,44;120,38
"BRA";2002;10;20000;3963,9;365,45
"BRA";2002;10;11200;973,75;106,34
"BRA";2002;10;19250;122,83;76,95
"BRA";2002;11;990;351,76;20,87
"BRA";2002;11;NA;NA;NA
"BRA";2002;11;NA;NA;NA
"BRA";2002;11;8400;126,86;34,86
"BRA";2002;11;33700;1154;217,72
"BRA";2002;11;4600;281,16;33,39
"BRA";2002;11;36150;11953,73;1022,61
"BRA";2002;11;2200;337,01;18,25
"BRA";2002;12;12850;787,18;15,1
"BRA";2002;12;1200;3698,68;14,43
"BRA";2003;9;11200;915,16;451,03
"BRA";2003;9;2400;89,38;134,82
"BRA";2003;9;13440;1005,96;881,01
"BRA";2003;10;23520;142,42;2173,01
"BRA";2003;11;NA;NA;NA
"BRA";2003;11;20800;8101,06;6595,12
"BRA";2003;11;6240;2780,83;619,11
"BRA";2003;12;4160;1304,93;725,33
"BRA";2003;12;2080;979,55;90,41
"BRA";2003;12;5200;1561,58;964,97
"BRA";2003;1;3310;124,99;34,53
"BRA";2003;1;NA;NA;NA
"BRA";2003;1;27850;381,56;185,79
"BRA";2003;1;3900;30,4;29,65
"BRA";2003;2;9740;138,81;21,27
"BRA";2003;2;6700;104,48;62,02
"BRA";2003;2;19200;206,18;148,82
"BRA";2003;3;NA;NA;NA
"BRA";2003;3;13000;206,56;11,38
"BRA";2003;3;15400;119,3;113,05
"BRA";2003;4;15200;224,43;774,86
"BRA";2003;4;13800;110,49;882,54
"BRA";2003;4;10500;62,9;881,42
"BRA";2003;5;NA;NA;NA
"BRA";2003;5;37250;2109,02;1742,54
"BRA";2003;5;37850;4804,98;6484,83
"BRA";2003;6;23400;970,31;294,51
"BRA";2003;6;31000;3973,23;2744,41
"BRA";2003;6;37400;6742,3;4621
"BRA";2003;7;46420;2552,58;9190,14
"BRA";2003;7;42040;239,84;3644,99
"BRA";2003;7;NA;NA;NA
"BRA";2003;8;16600;722,67;671,03
"BRA";2003;8;71100;19944,07;7535,19
"BRA";2003;8;12500;853,1;1331,17
"BRA";2003;9;13150;93,29;88,94
"BRA";2003;9;21200;286,25;1124,48
"BRA";2003;9;6450;208,15;475,38
"BRA";2003;9;46200;11669,2;3758,46
"BRA";2003;10;5000;202,45;99,86
"BRA";2003;10;3200;84,3;62,56
"BRA";2003;10;27370;605,94;319,35
"BRA";2003;10;9910;1254,04;247,35
"BRA";2003;11;138960;197,59;306,84
"BRA";2003;11;33600;1130,17;297,88
"BRA";2003;11;27000;579,4;424,17
"BRA";2003;11;13100;1158,12;421,43
"BRA";2003;1;10000;159,67;51,5
"BRA";2003;5;15300;210,28;349,23
"BRA";2003;7;NA;NA;NA
"BRA";2003;7;1300;69,16;18,74
"BRA";2003;8;3980;223,51;84,65
"BRA";2003;8;800;24,67;44,93
"BRA";2003;9;12000;1199,93;348,83
"BRA";2003;9;10800;1739,88;59,37
"BRA";2003;10;28400;1049,35;469,97
"BRA";2003;11;41200;2871,98;1118,67
"BRA";2003;11;63100;8979,35;1159,35
"BRA";2003;11;1250;130,76;19,65
"BRA";2003;11;6000;639,71;542,76
