Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
MG,3136900,Juruaia,98.097,98.077,15.094,48.897,3.043,1988,
MG,3136959,Juvenília,44.664,78.082,5.386,7.37,0.758,1547,
MG,3137007,Ladainha,38.158,59.016,3.151,6.226,1.042,3513,
MG,3137106,Lagamar,90.386,91.683,22.677,29.84,2.801,2261,
MG,3137205,Lagoa da Prata,96.788,99.76,27.513,38.382,4.449,10668,
MG,3137304,Lagoa dos Patos,56.798,77.791,7.191,11.496,0.312,1022,
MG,3137403,Lagoa Dourada,90.715,93.18,13.588,28.384,2.313,2631,
MG,3137502,Lagoa Formosa,94.463,98.184,19.874,35.8,3.481,4796,
MG,3137536,Lagoa Grande,82.061,90.859,15.718,25.332,1.56,2096,
MG,3137601,Lagoa Santa,92.809,99.33,53.792,39.249,11.304,10083,
MG,3137700,Lajinha,94.897,96.761,11.958,25.224,3.243,5119,
MG,3137809,Lambari,97.852,99.106,26.311,37.421,7.192,5375,
MG,3137908,Lamim,82.57,82.651,8.831,20.954,0.976,898,
MG,3138005,Laranjal,97.394,95.028,20.884,32.64,2.035,1767,
MG,3138104,Lassance,61.921,80.407,11.077,15.093,0.877,1747,
MG,3138203,Lavras,98.298,99.579,45.687,43.796,13.9,21960,
MG,3138302,Leandro Ferreira,91.451,98.55,18.248,32.144,1.4,940,
MG,3138351,Leme do Prado,67.767,87.131,7.297,14.197,0.627,1044,
MG,3138401,Leopoldina,97.975,98.686,38.269,28.682,6.427,14255,
MG,3138500,Liberdade,89.325,89.098,16.153,25.907,3.753,1577,
MG,3138609,Lima Duarte,94.012,93.579,18.241,24.695,3.432,4511,
MG,3138625,Limeira do Oeste,88.47,96.216,20.024,32.432,1.874,1860,
MG,3138658,Lontra,44.318,85.299,8.216,11.468,0.831,1761,
MG,3138674,Luisburgo,89.355,96.107,7.654,38.186,0.769,1601,
MG,3138682,Luislândia,33.733,70.421,5.888,10.058,1.077,1274,
MG,3138708,Luminárias,93.516,95.427,15.027,32.896,3.468,1594,
MG,3138807,Luz,96.326,99.282,37.426,32.485,5.086,4935,
MG,3138906,Machacalis,74.786,91.563,8.52,10.428,0.985,1769,
MG,3139003,Machado,98.168,99.719,38.545,44.86,8.188,9282,
MG,3139102,Madre de Deus de Minas,94.404,97.084,13.869,25.661,3.18,1236,
MG,3139201,Malacacheta,58.682,81.035,11.74,12.865,2.051,4679,
MG,3139250,Mamonas,64.047,94.512,2.985,12.678,0.47,1620,
MG,3139300,Manga,58.147,89.083,9.551,6.887,1.319,4669,
MG,3139409,Manhuaçu,97.184,98.638,22.728,33,4.654,17719,
MG,3139508,Manhumirim,96.416,99.258,18.01,29.46,7.849,5643,
